Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,7,0,7,Some Random Commen with Id 0
1,0,7,120,5,Some Random Commen with Id 1
2,0,7,22,3,Some Random Commen with Id 2
3,0,7,173,3,Some Random Commen with Id 3
4,0,7,177,5,Some Random Commen with Id 4
5,0,7,45,4,Some Random Commen with Id 5
6,0,7,104,7,Some Random Commen with Id 6
7,2,2,77,2,Some Random Commen with Id 7
8,2,2,129,3,Some Random Commen with Id 8
9,3,0,83,6,Some Random Commen with Id 9
10,3,0,15,0,Some Random Commen with Id 10
11,3,0,25,1,Some Random Commen with Id 11
12,3,0,192,2,Some Random Commen with Id 12
13,3,0,169,0,Some Random Commen with Id 13
14,3,0,63,8,Some Random Commen with Id 14
15,3,0,80,6,Some Random Commen with Id 15
16,3,0,192,8,Some Random Commen with Id 16
17,4,9,70,5,Some Random Commen with Id 17
18,4,9,26,3,Some Random Commen with Id 18
19,4,9,73,6,Some Random Commen with Id 19
20,4,9,169,0,Some Random Commen with Id 20
21,4,9,24,4,Some Random Commen with Id 21
22,4,9,196,3,Some Random Commen with Id 22
23,4,9,38,6,Some Random Commen with Id 23
24,4,9,53,2,Some Random Commen with Id 24
25,5,5,60,4,Some Random Commen with Id 25
26,5,5,165,7,Some Random Commen with Id 26
27,5,5,54,9,Some Random Commen with Id 27
28,5,5,71,2,Some Random Commen with Id 28
29,5,5,116,5,Some Random Commen with Id 29
30,5,5,125,7,Some Random Commen with Id 30
31,5,5,14,6,Some Random Commen with Id 31
32,5,5,67,1,Some Random Commen with Id 32
33,6,4,160,1,Some Random Commen with Id 33
34,6,4,194,4,Some Random Commen with Id 34
35,6,4,95,2,Some Random Commen with Id 35
36,6,4,49,1,Some Random Commen with Id 36
37,7,3,118,1,Some Random Commen with Id 37
38,7,3,56,8,Some Random Commen with Id 38
39,8,4,7,1,Some Random Commen with Id 39
40,8,4,60,9,Some Random Commen with Id 40
41,8,4,13,0,Some Random Commen with Id 41
42,9,5,80,3,Some Random Commen with Id 42
43,9,5,125,0,Some Random Commen with Id 43
44,9,5,5,4,Some Random Commen with Id 44
45,9,5,64,1,Some Random Commen with Id 45
46,9,5,174,5,Some Random Commen with Id 46
47,9,5,37,3,Some Random Commen with Id 47
48,12,3,35,7,Some Random Commen with Id 48
